Mod	SettleObjExpandPack.esp
Type	lights

Category	Omni
113de1	Large White Omni Bright
113de2	Large Warm Omni Bright
113de3	Large Cool Omni Bright
113de4	Large Blue Omni Bright
113de5	Large Green Omni Bright
113de6	Large Purple Omni Bright
113de7	Large Red Omni Bright
113de8	Large Orange Omni Bright
113de9	Large Yellow Omni Bright
113dea	Large White Omni Dim
113deb	Large Warm Omni Dim
113dec	Large Cool Omni Dim
113ded	Large Blue Omni Dim
113dee	Large Green Omni Dim
113def	Large Purple Omni Dim
113df0	Large Red Omni Dim
113df1	Large Orange Omni Dim
113df2	Large Yellow Omni Dim
113dcf	Mid White Omni Bright
113dd0	Mid Warm Omni Bright
113dd1	Mid Cool Omni Bright
113dd2	Mid Blue Omni Bright
113dd3	Mid Green Omni Bright
113dd4	Mid Purple Omni Bright
113dd5	Mid Red Omni Bright
113dd6	Mid Orange Omni Bright
113dd7	Mid Yellow Omni Bright
113dd8	Mid White Omni Dim
113dd9	Mid Warm Omni Dim
113dda	Mid Cool Omni Dim
113ddb	Mid Blue Omni Dim
113ddc	Mid Green Omni Dim
113ddd	Mid Purple Omni Dim
113dde	Mid Red Omni Dim
113ddf	Mid Orange Omni Dim
113de0	Mid Yellow Omni Dim
113dbd	Small White Omni Bright
113dbe	Small Warm Omni Bright
113dbf	Small Cool Omni Bright
113dc0	Small Blue Omni Bright
113dc1	Small Green Omni Bright
113dc2	Small Purple Omni Bright
113dc3	Small Red Omni Bright
113dc4	Small Orange Omni Bright
113dc5	Small Yellow Omni Bright
113dc6	Small White Omni Dim
113dc7	Small Warm Omni Dim
113dc8	Small Cool Omni Dim
113dc9	Small Blue Omni Dim
113dca	Small Green Omni Dim
113dcb	Small Purple Omni Dim
113dcc	Small Red Omni Dim
113dcd	Small Orange Omni Dim
113dce	Small Yellow Omni Dim

Category	Omni Shadow
113cdd	Large White Omni Bright
113cde	Large Warm Omni Bright
113cdf	Large Cool Omni Bright
113ce0	Large Blue Omni Bright
113ce1	Large Green Omni Bright
113ce2	Large Purple Omni Bright
